2026-07-14 19:46:45 [ERA5] ========================================================================
2026-07-14 19:46:45 [ERA5] Parallel raw WeatherBench2 ERA5 downloader
2026-07-14 19:46:45 [ERA5] Period: 1979–2022
2026-07-14 19:46:45 [ERA5] Workers: 64
2026-07-14 19:46:45 [ERA5] No decompression or recompression
2026-07-14 19:46:45 [ERA5] ========================================================================
2026-07-14 19:46:45 [ERA5] Opening remote metadata
2026-07-14 19:47:08 [ERA5] Selected time indices: 29,220..93,503
2026-07-14 19:47:08 [ERA5] Selected timestamps: 64,284
2026-07-14 19:47:08 [ERA5] Copying Zarr metadata and coordinates
2026-07-14 19:47:10 [ERA5] metadata 1/39: .zgroup | exists | 24.00 B
2026-07-14 19:47:10 [ERA5] metadata 2/39: .zattrs | exists | 2.00 B
2026-07-14 19:47:10 [ERA5] metadata 3/39: .zarray | exists | 320.00 B
2026-07-14 19:47:10 [ERA5] metadata 4/39: .zattrs | exists | 129.00 B
2026-07-14 19:47:10 [ERA5] metadata 5/39: 0 | exists | 3.25 KiB
2026-07-14 19:47:10 [ERA5] metadata 6/39: 1 | exists | 3.29 KiB
2026-07-14 19:47:10 [ERA5] metadata 7/39: 2 | exists | 3.00 KiB
2026-07-14 19:47:10 [ERA5] metadata 8/39: 3 | exists | 3.29 KiB
2026-07-14 19:47:10 [ERA5] metadata 9/39: .zarray | exists | 314.00 B
2026-07-14 19:47:10 [ERA5] metadata 10/39: .zattrs | exists | 52.00 B
2026-07-14 19:47:10 [ERA5] metadata 11/39: 0 | exists | 120.00 B
2026-07-14 19:47:10 [ERA5] metadata 12/39: .zarray | exists | 317.00 B
2026-07-14 19:47:10 [ERA5] metadata 13/39: .zattrs | exists | 56.00 B
2026-07-14 19:47:10 [ERA5] metadata 14/39: 0 | exists | 845.00 B
2026-07-14 19:47:10 [ERA5] metadata 15/39: .zarray | exists | 317.00 B
2026-07-14 19:47:10 [ERA5] metadata 16/39: .zattrs | exists | 55.00 B
2026-07-14 19:47:10 [ERA5] metadata 17/39: 0 | exists | 528.00 B
2026-07-14 19:47:10 [ERA5] metadata 18/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 19/39: .zattrs | exists | 229.00 B
2026-07-14 19:47:10 [ERA5] metadata 20/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 21/39: .zattrs | exists | 222.00 B
2026-07-14 19:47:10 [ERA5] metadata 22/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 23/39: .zattrs | exists | 238.00 B
2026-07-14 19:47:10 [ERA5] metadata 24/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 25/39: .zattrs | exists | 234.00 B
2026-07-14 19:47:10 [ERA5] metadata 26/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 27/39: .zattrs | exists | 235.00 B
2026-07-14 19:47:10 [ERA5] metadata 28/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 29/39: .zattrs | exists | 175.00 B
2026-07-14 19:47:10 [ERA5] metadata 30/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 31/39: .zattrs | exists | 187.00 B
2026-07-14 19:47:10 [ERA5] metadata 32/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 33/39: .zattrs | exists | 187.00 B
2026-07-14 19:47:10 [ERA5] metadata 34/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 35/39: .zattrs | exists | 235.00 B
2026-07-14 19:47:10 [ERA5] metadata 36/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 37/39: .zattrs | exists | 217.00 B
2026-07-14 19:47:10 [ERA5] metadata 38/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 39/39: .zattrs | exists | 174.00 B
2026-07-14 19:47:10 [ERA5] geopotential: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:11 [ERA5] temperature: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:11 [ERA5] specific_humidity: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] 2m_temperature: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] 10m_u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] 10m_v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] mean_sea_level_pressure: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] surface_pressure: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] total_precipitation_6hr: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] Starting raw-object copy with 64 workers
2026-07-14 19:47:14 [ERA5] Total ERA5 chunk objects: 88,396
2026-07-14 19:47:14 [ERA5] Destination: /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
2026-07-14 19:47:14 [ERA5] progress=201/88,396 (0.23%) | new=0.00 B | skipped=201 | average=0.00 B/s | ETA≈0.0 h
2026-07-14 20:44:48 [ERA5] progress=30,239/88,396 (34.21%) | new=20.98 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈25.6 h
2026-07-14 20:45:20 [ERA5] progress=30,259/88,396 (34.23%) | new=21.17 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈25.6 h
2026-07-14 20:45:50 [ERA5] progress=30,278/88,396 (34.25%) | new=21.35 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈25.6 h
2026-07-14 20:46:23 [ERA5] progress=30,300/88,396 (34.28%) | new=21.56 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈25.6 h
2026-07-14 20:46:54 [ERA5] progress=30,320/88,396 (34.30%) | new=21.76 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈25.6 h
2026-07-14 20:47:25 [ERA5] progress=30,340/88,396 (34.32%) | new=21.95 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈25.6 h
2026-07-14 20:59:47 [ERA5] progress=30,355/88,396 (34.34%) | new=22.09 GiB | skipped=28,063 | average=5.20 MiB/s | ETA≈30.6 h
2026-07-14 21:00:29 [ERA5] progress=30,356/88,396 (34.34%) | new=22.10 GiB | skipped=28,063 | average=5.15 MiB/s | ETA≈30.9 h
2026-07-14 21:01:16 [ERA5] progress=30,357/88,396 (34.34%) | new=22.11 GiB | skipped=28,063 | average=5.10 MiB/s | ETA≈31.2 h
2026-07-14 21:03:59 [ERA5] progress=30,358/88,396 (34.34%) | new=22.12 GiB | skipped=28,063 | average=4.92 MiB/s | ETA≈32.3 h
2026-07-14 21:05:26 [ERA5] progress=30,359/88,396 (34.34%) | new=22.13 GiB | skipped=28,063 | average=4.83 MiB/s | ETA≈32.9 h
2026-07-14 21:06:23 [ERA5] progress=30,360/88,396 (34.35%) | new=22.14 GiB | skipped=28,063 | average=4.77 MiB/s | ETA≈33.3 h
2026-07-14 21:07:38 [ERA5] progress=30,362/88,396 (34.35%) | new=22.16 GiB | skipped=28,063 | average=4.70 MiB/s | ETA≈33.8 h
2026-07-14 21:11:19 [ERA5] progress=30,364/88,396 (34.35%) | new=22.18 GiB | skipped=28,063 | average=4.50 MiB/s | ETA≈35.3 h
2026-07-14 21:12:03 [ERA5] progress=30,366/88,396 (34.35%) | new=22.20 GiB | skipped=28,063 | average=4.47 MiB/s | ETA≈35.6 h
2026-07-14 21:17:57 [ERA5] progress=30,369/88,396 (34.36%) | new=22.23 GiB | skipped=28,063 | average=4.18 MiB/s | ETA≈38.0 h
2026-07-14 21:18:44 [ERA5] progress=30,372/88,396 (34.36%) | new=22.26 GiB | skipped=28,063 | average=4.15 MiB/s | ETA≈38.3 h
2026-07-14 21:25:56 [ERA5] progress=30,374/88,396 (34.36%) | new=22.28 GiB | skipped=28,063 | average=3.85 MiB/s | ETA≈41.3 h
2026-07-14 21:26:47 [ERA5] progress=30,375/88,396 (34.36%) | new=22.29 GiB | skipped=28,063 | average=3.82 MiB/s | ETA≈41.6 h
2026-07-14 21:29:34 [ERA5] progress=30,377/88,396 (34.36%) | new=22.31 GiB | skipped=28,063 | average=3.72 MiB/s | ETA≈42.8 h
2026-07-14 21:34:59 [ERA5] progress=30,378/88,396 (34.37%) | new=22.32 GiB | skipped=28,063 | average=3.53 MiB/s | ETA≈45.0 h
2026-07-14 21:36:00 [ERA5] progress=30,379/88,396 (34.37%) | new=22.33 GiB | skipped=28,063 | average=3.50 MiB/s | ETA≈45.4 h
2026-07-14 21:41:36 [ERA5] progress=30,380/88,396 (34.37%) | new=22.34 GiB | skipped=28,063 | average=3.33 MiB/s | ETA≈47.7 h
2026-07-14 21:44:09 [ERA5] progress=30,381/88,396 (34.37%) | new=22.34 GiB | skipped=28,063 | average=3.26 MiB/s | ETA≈48.8 h
2026-07-14 21:51:11 [ERA5] progress=30,382/88,396 (34.37%) | new=22.35 GiB | skipped=28,063 | average=3.08 MiB/s | ETA≈51.7 h
2026-07-14 21:53:36 [ERA5] progress=30,383/88,396 (34.37%) | new=22.36 GiB | skipped=28,063 | average=3.02 MiB/s | ETA≈52.7 h
2026-07-14 21:58:57 [ERA5] progress=30,384/88,396 (34.37%) | new=22.37 GiB | skipped=28,063 | average=2.90 MiB/s | ETA≈54.9 h
2026-07-14 22:04:19 [ERA5] progress=30,385/88,396 (34.37%) | new=22.38 GiB | skipped=28,063 | average=2.79 MiB/s | ETA≈57.1 h
2026-07-14 22:04:58 [ERA5] progress=30,386/88,396 (34.37%) | new=22.39 GiB | skipped=28,063 | average=2.77 MiB/s | ETA≈57.3 h
